Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
I'm in Love,2007.0,140.0,1,9.2,36.0,2915,508,Anil Dhawan,Kiran Juneja
Imaan,1974.0,131.0,409,7.4,27.0,435,1981,Leena Chandavarkar,Johnny Walker
Imaandaar,1987.0,152.0,29,5.4,62.0,2844,2455,Birbal,Chandrashekhar
Immaan Dharam,1977.0,156.0,39,5.7,177.0,670,2083,Sanjeev Kumar,Amitabh Bachchan
Impatient Vivek,2011.0,0.0,180,2.1,76.0,1995,2509,Sayali Bhagat,Ronnaoq Ahuja
Imtihaan,1994.0,152.0,50,5.3,338.0,921,2271,Saif Ali Khan,Raveena Tandon
Imtihan,1974.0,153.0,342,7.4,63.0,1409,2487,Tanuja,Deven Verma
In Camera,2010.0,78.0,241,6.4,14.0,2198,0,0,0
In Custody,1994.0,126.0,172,7.1,348.0,1004,2083,Shabana Azmi,Om Puri
In the Name of Tai,2012.0,143.0,269,5.9,7.0,2931,1520,Asrani,Babita
In the Shadows,2017.0,117.0,336,7.1,577.0,737,1225,Ranvir Shorey,Neeraj Kabi
In Their Shoes,2015.0,92.0,241,6.8,41.0,411,0,0,0
In Your Name,2003.0,132.0,50,7.1,17628.0,2509,1940,Bhoomika Chawla,Sachin Khedekar
Inaam Dus Hazaar,1987.0,0.0,84,6.0,142.0,1140,1970,Meenakshi Sheshadri,Amrish Puri
Independence,1999.0,0.0,84,4.5,61.0,3045,1682,Sphadikam George,Cochin Hanifa
India Untouched: Stories of a People Apart,2007.0,108.0,241,8.9,208.0,2724,0,0,0
Indian,2001.0,178.0,29,5.4,2213.0,1627,2271,Shilpa Shetty Kundra,Raj Babbar
Indian Babu,2003.0,0.0,327,4.5,52.0,1374,918,Gurleen Chopra,Mukesh Rishi
Indian Never Again Nirbhaya,2018.0,0.0,269,6.5,27.0,519,996,Payal Kaashyap,Riecha Sharma
India's Daughter,2015.0,63.0,245,8.2,1998.0,1383,368,Badri Singh,Satendra
India's Daughter,2015.0,120.0,29,6.9,21.0,2303,1498,Amann Grewal,Vishal Om Prakash
India's Most Wanted,2019.0,123.0,15,4.5,1991.0,2015,328,Sudev Nair,Rajesh Sharma
Indira,1996.0,143.0,269,7.0,218.0,2763,299,Arvind Swamy,Nassar
Indoo Ki Jawani,2020.0,118.0,172,3.0,5032.0,73,1050,Aditya Seal,Mushtaq Khan
"Indradhanush, the Grey Shades of Love",2021.0,90.0,401,8.8,5.0,1656,2324,Sommansh Sachdevva,0
Indrajeet,1991.0,0.0,39,4.5,258.0,1190,207,Jaya Prada,Kumar Gaurav
Indrani,1958.0,121.0,269,7.3,57.0,1720,2230,Uttam Kumar,Biman Bannerjee
Indrasabha,1932.0,211.0,396,6.0,12.0,1015,1473,Jehanara Kajjan,Abdul Rehman Kabuli
Indrudu Chandrudu,1989.0,158.0,172,7.2,293.0,2830,983,Vijayshanti,Charan Raj
Indu Sarkar,2017.0,139.0,336,6.0,1446.0,1413,1064,Tota Roy Chowdhury,Neil Nitin Mukesh
Inimey Nangathan,2007.0,0.0,127,6.5,23.0,2987,0,0,0
Inkaar,1977.0,135.0,408,6.9,189.0,2020,2487,Vidya Sinha,Shreeram Lagoo
Inkaar,2013.0,125.0,331,6.0,2491.0,2754,332,Chitrangda Singh,Vipin Sharma
Inquilaab,1984.0,152.0,52,5.8,271.0,2161,207,C.S. Dubey,Utpal Dutt
Inquilab,1935.0,144.0,269,7.4,38.0,637,685,Prithviraj Kapoor,Syed Mohammed
Insaaf,1987.0,0.0,39,6.7,68.0,1607,2487,Dimple Kapadia,Suresh Oberoi
Insaaf,1966.0,129.0,6,5.7,6.0,1982,1613,Dara Singh,Azaad Irani
Insaaf Apne Lahoo Se,1994.0,140.0,39,4.7,43.0,1373,2085,Sanjay Dutt,Shekhar Suman
Insaaf Kaun Karega,1984.0,0.0,39,4.9,44.0,2742,632,Rajinikanth,Jaya Prada
Insaaf Ki Awaaz,1986.0,162.0,39,4.8,28.0,610,1819,Anil Kapoor,Richa Sharma
Insaaf Ki Devi,1992.0,0.0,1,3.0,25.0,2322,920,Rekha,Niraj
Insaaf Main Karoonga,1985.0,0.0,237,6.8,38.0,2617,1703,Padmini Kolhapure,Tina Ambani
Insaaf: The Final Justice,1997.0,155.0,20,4.2,864.0,632,146,Shilpa Shetty Kundra,Paresh Rawal
Insaaf: The Justice,2004.0,136.0,39,3.9,92.0,2649,666,Namrata Shirodkar,Sanjay Suri
Insaan,1982.0,150.0,43,5.4,29.0,1671,920,Vinod Khanna,Reena Roy
Insaan Aur Shaitan,1970.0,0.0,1,5.1,14.0,402,1981,Faryal,Sheikh Mukhtar
Insaan Bana Shaitan,1992.0,0.0,363,3.4,11.0,1561,2038,Aparajita,Rajni Bala
Insaan Jaag Utha,1959.0,135.0,289,6.8,38.0,2564,2263,Madhubala,Nasir Hussain
Insaaniyat,1974.0,133.0,282,6.5,13.0,1906,2083,Madhu,Sujit Kumar
Insaf Ka Mandir,1969.0,0.0,218,6.4,5.0,448,1981,Snehlata,Nadira
Insaf Ka Tarazu,1980.0,146.0,218,6.4,231.0,447,2549,Raj Babbar,Deepak Parashar
Insaf Ki Pukar,1987.0,0.0,39,5.2,32.0,2161,632,Jeetendra,Anita Raj
Insan,2005.0,141.0,29,4.6,1295.0,1165,146,Ajay Devgn,Tusshar Kapoor
Insaniyat,1994.0,180.0,29,3.0,262.0,2917,2361,Sadashiv Amrapurkar,Mahesh Anand
Insaniyat,1955.0,185.0,50,7.4,79.0,2348,658,Dev Anand,Bina Rai
Insaniyat Ke Devta,1993.0,0.0,39,5.1,64.0,1172,2455,Rakesh Bedi,Rita Bhaduri
Insaniyat Ke Dushman,1987.0,145.0,1,4.6,52.0,2108,632,Shatrughan Sinha,Anita Raj
"Inshallah, Kashmir",2012.0,82.0,241,6.8,131.0,393,1496,Bashir Baba,Wajahat Habibullah
Inspector,1957.0,0.0,1,5.6,15.0,2564,377,Geeta Bali,Mehmood
Inspector Balram,1991.0,143.0,52,6.9,342.0,970,1187,Murali,Kiran Kumar
Inspector Dhanush,1991.0,150.0,39,6.2,29.0,2666,2371,Vishnuvardhan,Sangeeta Bijlani
Inspector Eagle,1979.0,0.0,90,6.1,7.0,3083,1981,Neelam Mehra,Bindu
Inspector Gullu,2018.0,124.0,1,6.8,32.0,429,786,Adnan Sajid Khan,R.K. Mama
Inspector Pratap,1988.0,0.0,1,6.6,8.0,1662,1370,Vijayshanti,0
Intaquam,1969.0,144.0,336,6.8,48.0,1964,377,Sadhana,Sanjay Khan
Inteha,1984.0,0.0,282,5.3,9.0,2617,1668,Reena Roy,Shakti Kapoor
Inteha,2003.0,155.0,52,5.1,153.0,3035,375,Vidya Malvade,Nauheed Cyrusi
Inteha Pyar Ki,1992.0,159.0,289,3.8,30.0,1016,2455,Aparajita,Asrani
Inteqam,1988.0,0.0,269,5.2,73.0,2108,2271,Anil Kapoor,Kimi Katkar
Inteqam,2001.0,138.0,164,2.6,10.0,401,143,Tinnu Anand,Pooja Dadwal
Inteqam: The Perfect Game,2004.0,127.0,84,5.0,85.0,1786,1225,Isha Koppikar,Nethra Raghuraman
International Crook,1974.0,138.0,28,6.5,62.0,1774,632,Saira Banu,Feroz Khan
International Khiladi,1999.0,175.0,29,4.8,2082.0,2935,146,Twinkle Khanna,Rajat Bedi
Intezar,1973.0,116.0,269,5.8,5.0,1570,1831,Padmini Kapila,Baldev Khosa
Inth Ka Jawab Patthar,2002.0,0.0,377,3.0,10.0,1554,2232,Biswajit Chatterjee,Divya Dutta
Iqbal,2005.0,132.0,334,8.1,16185.0,1651,2122,Naseeruddin Shah,Shweta Basu Prasad
Iqraar,1979.0,0.0,392,4.8,5.0,1198,501,Aruna Irani,Yunus Parvez
Iqraar: By Chance,2006.0,130.0,208,4.7,41.0,1160,182,Shilpa Anand,Deepa Bakshi
Iraada,1991.0,0.0,269,4.4,17.0,986,2085,Parveen Babi,Moon Moon Sen
Irada,2017.0,109.0,326,6.3,1284.0,309,1406,Arshad Warsi,Divya Dutta
Is Pyaar Ko Kya Naam Doon,2001.0,0.0,162,5.8,50.0,2006,938,Akanksha Malhotra,Om Puri
Is Raat Ki Subah Nahin,1996.0,131.0,240,6.7,279.0,2754,1366,Tara Deshpande,Kishore Kadam
Is She Raju?,2019.0,155.0,162,5.0,38.0,2003,73,Ansh Gupta,Amit Behl
Ishaara,1964.0,129.0,269,5.4,10.0,1143,946,Vyjayanthimala,Jayant
Ishaara,2008.0,152.0,216,4.7,7.0,688,242,Milind Gunaji,Mohan Joshi
Ishaqzaade,2012.0,120.0,50,6.5,7145.0,892,328,Parineeti Chopra,Gauahar Khan
Ishk Actually,2013.0,103.0,409,2.6,143.0,272,1444,Raayo S. Bakhirta,Neha Ghelot
Ishk Ishk Ishk,1974.0,131.0,327,7.3,59.0,671,617,Zeenat Aman,Shabana Azmi
Ishkq in Paris,2013.0,95.0,208,3.8,751.0,1916,1599,Isabelle Adjani,Gaurav Chanana
Ishq,1997.0,161.0,20,6.9,10128.0,981,19,Ajay Devgn,Juhi Chawla
Ishq Forever,2016.0,125.0,409,4.0,96.0,2415,1082,Ruhi Singh,Javed Jaffrey
Ishq Hai Tumse,2004.0,148.0,409,3.1,151.0,790,666,Bipasha Basu,Beena Banerjee
Ishq Ka Manjan,2017.0,135.0,172,5.8,12.0,2188,1363,Asrani,Shakti Kapoor
Ishq Ke Parindey,2015.0,120.0,375,6.8,51.0,2560,1838,Priyanka Mehta,Manjul Azad
Ishq Mein Jeena Ishq Mein Marna,1994.0,134.0,409,5.7,10.0,1436,675,Brij Gopal,Shafi Inamdar
Ishq Ne Krazy Kiya Re,2015.0,0.0,409,7.6,18.0,1677,1492,Mugdha Godse,Nishant Malkani
Ishq Par Zor Nahin,1970.0,0.0,409,6.7,48.0,2181,1903,Dharmendra,Biswajit Chatterjee
Ishq Qayamat,2004.0,0.0,427,5.5,17.0,2949,2250,Milind Gunaji,Deepak Jethi
Ishq Tera,2018.0,122.0,331,5.5,12.0,1123,830,Shahbaaz Khan,Mohit Madaan
Ishq Vishk,2003.0,134.0,208,6.0,3937.0,1272,2043,Amrita Rao,Shenaz Treasury
Ishqedarriyaan,2015.0,132.0,409,4.8,151.0,2960,1300,Kavin Dave,Mohit Dutta
Ishqeria,2018.0,118.0,208,4.1,167.0,1919,1207,Raj Babbar,Richa Chadha
Ishqiya,2010.0,118.0,180,7.3,10075.0,61,2436,Naseeruddin Shah,Arshad Warsi
Isi Ka Naam Zindagi,1992.0,140.0,20,5.7,604.0,1204,19,Farha Naaz,Asrani
Isi Life Mein...!,2010.0,139.0,180,5.4,391.0,2999,147,Sandeepa Dhar,Mohnish Bahl
ISIS,2017.0,92.0,1,6.4,18.0,3126,222,Moshin Bhat,Snighdadeep Chatterji
ISIS: Enemies of Humanity,2017.0,135.0,1,7.5,8.0,3126,2537,Manon Faure,Rasheed Naz
Iski Topi Uske Sarr,1998.0,129.0,29,4.4,45.0,2123,344,Prem Chopra,Sunny Deol
Island City,2015.0,108.0,269,6.7,315.0,2298,2476,Amruta Subhash,Tannishtha Chatterjee
Issaq,2013.0,148.0,327,4.5,439.0,1476,1590,Amyra Dastur,Ravi Kishan
Issi Ka Naam Dunia Hai,1962.0,130.0,314,6.7,6.0,2564,377,Shyama,Mehmood
It Happens That Way Too: Part II,2003.0,137.0,165,7.3,719.0,2594,342,Prashant Narayanan,Sandhya Mridul
Iti Mrinalini: An Unfinished Letter...,2010.0,131.0,269,6.8,503.0,308,1075,Anjan Dutt,Rajat Kapoor
Itihaas,1987.0,138.0,282,5.0,34.0,2946,1636,Shabana Azmi,Rati Agnihotri
Itihaas,1997.0,154.0,50,3.5,292.0,2010,109,Twinkle Khanna,Amrish Puri
Itni Si Baat,1981.0,138.0,184,6.9,71.0,1411,1981,Moushumi Chatterjee,Arun Govil
It's Breaking News,2007.0,0.0,218,5.4,62.0,3071,2474,Abhijeet Bagalkote,Bijal Batavia
It's Entertainment,2014.0,140.0,20,4.5,7875.0,2390,703,Akshay Kumar,Tamannaah Bhatia
It's Rocking: Dard-E-Disco,2012.0,93.0,162,4.3,9.0,386,390,Arun Bakshi,Dinesh Hingoo
Ittefaq,1969.0,104.0,237,7.4,985.0,3106,1703,Nanda,Sujit Kumar
Ittefaq,2001.0,138.0,20,4.5,80.0,2457,2267,Mukul Dev,Pooja Batra
Ittefaq,2017.0,105.0,237,7.2,10842.0,45,2156,Sonakshi Sinha,Akshaye Khanna
Izzat,1937.0,108.0,0,6.1,17.0,788,627,Ashok Kumar,Kamta Prasad
Izzat,1968.0,135.0,327,7.0,74.0,2863,632,Tanuja,Jayalalitha J
Izzat,1952.0,0.0,0,6.4,5.0,2874,90,Jeevan,Manorama
Izzat,1991.0,156.0,39,5.8,43.0,374,871,Sangeeta Bijlani,Gulshan Grover
Izzat Ki Roti,1993.0,0.0,269,4.9,76.0,1155,2389,Birbal,Juhi Chawla
Izzatdaar,1990.0,172.0,29,5.0,183.0,1147,892,Dilip Kumar,Govinda
J.D.,2017.0,127.0,269,5.3,18.0,2553,1830,Arvind Gaur,Jaswir Kaur
Jaadugar,1989.0,173.0,189,4.1,484.0,1868,207,Jaya Prada,Amrita Singh
Jaag Utha Insan,1984.0,0.0,282,6.2,69.0,1169,1305,Sridevi,Rakesh Roshan
Jaago,2004.0,122.0,227,6.5,154.0,1536,1972,Raveena Tandon,Manoj Bajpayee
Jaagruti,1993.0,134.0,39,4.2,973.0,2830,1940,Karisma Kapoor,Ashok Saraf
Jaal,1952.0,165.0,240,7.2,115.0,880,617,Geeta Bali,K.N. Singh
Jaal,1986.0,0.0,52,5.0,103.0,2935,1819,Mithun Chakraborty,Mandakini
Jaal,1967.0,156.0,29,5.8,31.0,1587,504,Mala Sinha,Sujit Kumar
Jaal Saaz,1969.0,136.0,1,6.9,8.0,1558,318,Bambi,Bela Bose
Jaal: The Trap,2003.0,142.0,50,4.1,459.0,866,2271,Tabu,Reema Sen
Jaali Note,1960.0,155.0,29,7.3,77.0,2564,617,Madhubala,Kundan
Jaalsaaz,1999.0,0.0,427,6.4,15.0,2625,987,Madhoo,Ronit Roy
Jaan,1996.0,170.0,50,4.1,540.0,2010,109,Twinkle Khanna,Amrish Puri
Jaan Hatheli Pe,1987.0,160.0,1,5.6,48.0,1991,632,Jeetendra,Hema Malini
Jaan Hazir Hai,1975.0,140.0,269,5.9,7.0,1488,2389,Iftekhar,Jankidas
Jaan Ki Baazi,1985.0,139.0,1,4.7,43.0,119,1970,Anita Raj,Anuradha Patel
Jaan Lada Denge,1990.0,137.0,1,6.6,5.0,716,811,Sahila Chaddha,Natasha
Jaan Likhu Janam Likhu,2001.0,0.0,375,3.3,9.0,2548,418,0,0
Jaan Pechaan,1991.0,0.0,172,4.3,10.0,1220,2094,Sudha Chandran,Satish Shah
Jaan Se Pyaara,1992.0,180.0,29,5.3,106.0,224,768,Divya Bharti,Aruna Irani
Jaan Tere Naam,1992.0,150.0,327,5.9,147.0,649,1863,Farheen,Sulabha Deshpande
Jaana Pehchana,2011.0,0.0,269,4.8,26.0,2369,1896,Birbal,Pushkar Jog
Jaana... Let's Fall in Love,2006.0,0.0,180,5.7,34.0,2550,1703,Zeenat Aman,Rehan Khan
Jaanam,1992.0,127.0,409,4.6,68.0,3035,1660,Pooja Bhatt,Paresh Rawal
Jaanam Samjha Karo,1999.0,153.0,327,4.8,1705.0,242,1940,Urmila Matondkar,Jaspal Bhatti
Jaandaar,1979.0,0.0,38,4.6,5.0,2327,2489,Bindiya Goswami,Mahendra Sandhu
Jaane Bhi Do Yaaro,1983.0,132.0,165,8.4,13465.0,1358,1406,Ravi Baswani,Bhakti Barve
Jaane Hoga Kya,2006.0,155.0,37,2.7,167.0,277,760,Glenn,Aftab Shivdasani
Jaane Jigar,1998.0,175.0,173,3.3,30.0,335,2321,Jackie Shroff,Ayub Khan
Jaane Kahan Se Aayi Hai,2010.0,94.0,174,3.8,570.0,1544,1623,Akshay Kumar,Jacqueline Fernandez
Jaane Kyun De Yaaron,2018.0,131.0,269,4.8,38.0,162,1365,Akshay Anand,Kabir Bedi
Jaane Tu,2008.0,155.0,180,7.5,25819.0,40,843,Genelia D'Souza,Manjari Fadnnis
Jaane-Anjaane,1971.0,139.0,269,6.5,40.0,2564,2059,Leena Chandavarkar,Sandhya Roy
Jaan-E-Bahaar,1979.0,0.0,291,6.4,7.0,1866,390,Manju Asrani,Master Bhagwan
Jaanejaan,1983.0,0.0,422,4.2,5.0,2175,1764,Neetu Singh,Ajit
Jaaneman,1976.0,110.0,225,6.8,48.0,592,617,Hema Malini,Prem Nath
Jaan-E-Mann: Let's Fall in Love... Again,2006.0,165.0,178,6.1,8218.0,2622,1940,Akshay Kumar,Preity Zinta
Jaani Dost,1983.0,153.0,20,5.8,70.0,1157,632,Jeetendra,Parveen Babi
Jaani Dushman,1979.0,154.0,67,6.1,455.0,2108,2263,Sanjeev Kumar,Shatrughan Sinha
Jaani Dushman: Ek Anokhi Kahani,2002.0,170.0,65,2.8,3240.0,2108,2271,Arman Kohli,Manisha Koirala
Jaanisaar,2015.0,124.0,327,5.0,116.0,1623,841,Pernia Qureshi,Muzaffar Ali
Jaanleva Black Blood,2012.0,0.0,401,6.0,14.0,2139,1703,Rati Agnihotri,Tom Alter
Jaanoo,1985.0,0.0,291,5.3,24.0,1045,871,Kushboo,Rati Agnihotri
Jaanwar,1999.0,172.0,29,6.0,2578.0,2790,146,Karisma Kapoor,Shilpa Shetty Kundra
Jaanwar,1982.0,0.0,6,6.8,43.0,2305,1703,Zeenat Aman,Pradeep Kumar
Jaanwar Aur Insaan,1972.0,155.0,15,6.3,36.0,2887,2083,Rakhee Gulzar,Shabnam
Jaaydaad,1989.0,129.0,218,4.2,16.0,719,2083,Raj Babbar,Madhavi
Jab Andhera Hota Hai,1974.0,0.0,224,6.1,9.0,647,2466,Prema Narayan,Madan Puri
Jab Harry Met Sejal,2017.0,143.0,180,5.3,19349.0,974,2039,Anushka Sharma,Björn Freiberg
Jab Jab Phool Khile,1965.0,141.0,396,6.9,278.0,2820,1391,Shashi Kapoor,Agha
Jab Pyar Kisise Hota Hai,1961.0,139.0,178,6.8,120.0,1681,617,Asha Parekh,Sulochana Latkar
Jab Pyar Kiya to Darna Kya,1991.0,0.0,269,4.5,10.0,1129,2361,Abha Dhulia,Ashutosh Gowariker
Jab Se Tumhe Dekha Hai,1963.0,136.0,327,6.2,26.0,1270,1564,Geeta Bali,Siddhu
Jab Tak Hai Jaan,2012.0,176.0,327,6.7,52231.0,3106,2039,Katrina Kaif,Anushka Sharma
Jab Tum Kaho,2016.0,94.0,269,5.6,14.0,2575,1533,Ambalika Sarkar,Amit Bhardwaj
Jab We Met,2007.0,138.0,180,7.9,49012.0,974,2043,Kareena Kapoor,Tarun Arora
Jab Yaad Kisi Ki Aati Hai,1967.0,158.0,347,6.5,24.0,1678,1182,Dharmendra,Anoop Kumar
Jabariya Jodi,2019.0,125.0,20,4.4,1317.0,1888,2156,Parineeti Chopra,Javed Jaffrey
Jack & Dil,2018.0,98.0,184,7.5,715.0,2368,204,Arbaaz Khan,Sonal Chauhan
Jackpot,2013.0,132.0,214,2.0,721.0,1201,1406,Sunny Leone,Sachiin Joshi
Jacqueline I Am Coming,2019.0,112.0,269,8.1,17.0,470,1646,Kiran D Patil,Shakti Kumar
Jadoo,1951.0,0.0,294,5.8,8.0,42,2289,Shyam Kumar,Nalini Jaywant
Jadu Ka Shankh,1974.0,0.0,114,7.6,9.0,2385,1393,Sulabha Deshpande,Girish Karnad
Jadu Nagari,1986.0,0.0,8,4.0,9.0,1161,1992,Sridevi,0
Jadu Tona,1977.0,112.0,369,6.1,46.0,2231,377,Feroz Khan,Reena Roy
Jagadguru Aadi Sankaran,1977.0,0.0,0,8.0,7.0,1752,1367,Kaviyoor Ponnamma,J.A.R. Anand
Jaganmohini,1978.0,163.0,350,6.6,31.0,439,906,Narasimha Raju,Prabha
Jagga Jasoos,2017.0,161.0,4,6.5,9428.0,298,1761,Katrina Kaif,Saswata Chatterjee
Jaggu,1975.0,0.0,216,5.9,12.0,2418,957,Indira Bansal,Master Bhagwan
Jaggu,2004.0,0.0,1,4.1,9.0,2191,1572,Arjun Sarja,Reema Sen
Jaggu Bhai,1996.0,0.0,1,7.9,38.0,1560,1329,Ramya Krishnan,0
Jagir,1984.0,135.0,6,6.4,156.0,1873,632,Zeenat Aman,Mithun Chakraborty
Jagira,2001.0,139.0,29,5.1,17.0,1234,862,Hemant Birje,Pinky Chinoy
Jagriti,1955.0,138.0,173,6.8,140.0,2520,37,Pranoti Ghosh,Bipin Gupta
Jahan Ara,1964.0,0.0,409,5.6,18.0,3053,464,Mala Sinha,Shashikala
Jahan Jaaeyega Hamen Paaeyega,2007.0,137.0,19,3.9,42.0,1057,768,Divyaa Dwivedi,Razak Khan
Jahan Pyar Miley,1969.0,138.0,282,6.4,27.0,1381,2083,Hema Malini,Nadira
Jahan Tum Le Chalo,1999.0,173.0,409,6.1,23.0,668,1759,Shail Chaturvedi,Sonali Kulkarni
Jai Bangladesh,1971.0,0.0,162,6.5,12.0,969,657,Ambika Johar,I.S. Johar
Jai Bhim Comrade,2011.0,199.0,241,8.7,141.0,231,0,0,0
Jai Chhathi Maa,2019.0,141.0,339,7.8,8.0,1616,1596,Ravi Kishan,Gurleen Chopra
Jai Chitod,1961.0,0.0,66,7.0,11.0,1065,1464,Paidi Jairaj,Ram Singh
Jai Devaa,1993.0,0.0,409,3.6,7.0,1374,1127,Mithun Chakraborty,Danny Denzongpa
Jai Dhakshineshwari Kali Maa,1996.0,0.0,269,6.7,11.0,2582,118,Jayshree Gadkar,Hema Malini
Jai Ganesh Deva,2001.0,0.0,350,3.5,6.0,1161,615,Jai Ganesh,Nizhalgal Ravi
Jai Gangaajal,2016.0,149.0,218,5.6,2455.0,1865,1623,Prakash Jha,Manav Kaul
Jai Hanuman,1948.0,0.0,376,7.4,10.0,2172,1464,P. Kailash,Ram Kumar
Jai Ho,2014.0,135.0,39,5.1,18411.0,2687,1940,Daisy Shah,Tabu
Jai Ho! Democracy,2015.0,85.0,215,5.2,55.0,523,1774,Azb Dahal,Dolly Ahluwalia
Jai Jagannath,2007.0,127.0,295,7.9,37.0,2361,2221,Brendra N. Gochhikar,Sehenawaj Khan
Jai Jawaan Jai Kisaan,2015.0,100.0,153,5.2,28.0,1543,1787,Kanchan Awasthi,Rishi Bhutani
Jai Kaali,1992.0,0.0,427,5.7,11.0,1715,810,Jeetendra,Paresh Rawal
Jai Kishen,1994.0,129.0,39,5.1,623.0,2795,146,Ayesha Jhulka,Chandni
Jai Maa Vaishno Devi,1994.0,0.0,269,8.3,47.0,2600,1732,Gajendra Chauhan,Devidas Chippa
Jai Mahakali,1951.0,162.0,350,7.2,5.0,702,1464,Shahu Modak,Ulhas
Jai Mahalaxmi Maa,1976.0,0.0,350,7.2,8.0,3023,374,Kanan Kaushal,Anita Guha
Jai Mahalaxmi Maa,1997.0,0.0,269,6.0,8.0,1838,390,Rajni Bala,Rajesh Dubeay
Jai Mummy Di,2020.0,103.0,180,3.6,827.0,1688,1556,Supriya Pathak,Sunny Singh Nijjar
Jai Santoshi Maa,1975.0,145.0,294,6.2,118.0,3023,464,Ashish Kumar,Kanan Kaushal
Jai Santoshi Maa,2006.0,0.0,282,6.6,33.0,105,1490,Lalit Tiwari,Sanjay Swaraj
Jai Shiv Shankar,1990.0,90.0,269,5.3,19.0,2322,1703,Jeetendra,Dimple Kapadia
Jai Surya,2004.0,0.0,29,4.1,17.0,1494,1671,Kazan Khan,Laila
Jai Veeru: Friends Forever,2009.0,160.0,5,3.6,271.0,1937,701,Kunal Khemu,Dia Mirza
Jai Vikraanta,1995.0,195.0,1,5.0,87.0,2773,1970,Zeba Bakhtiar,Amrish Puri
Jail,2009.0,131.0,269,6.2,1242.0,1413,1225,Atul Kulkarni,Neil Nitin Mukesh
Jail Yatra,1947.0,0.0,0,6.8,10.0,803,678,Harish,Hemavathi
Jail Yatra,1981.0,0.0,77,6.6,39.0,497,377,Vinod Khanna,Reena Roy
Jailor,1958.0,0.0,218,6.0,12.0,2692,2177,Geeta Bali,Abhi Bhattacharya
Jaise Ko Taisa,1973.0,134.0,282,5.3,35.0,1618,920,Reena Roy,Srividya
Jaisi Karni Waisi Bharni,1989.0,168.0,172,5.6,223.0,3042,768,Kimi Katkar,Kader Khan
Jai-Vijay,1977.0,152.0,6,5.2,16.0,1363,920,Reena Roy,Prem Krishan
Jajantaram Mamantaram,2003.0,122.0,4,5.8,864.0,2702,898,Gulshan Grover,Joy Fernandes
Jal,2013.0,126.0,269,6.7,454.0,839,1629,Tannishtha Chatterjee,Kirti Kulhari
Jal Bin Machhli Nritya Bin Bijli,1971.0,0.0,396,6.9,31.0,2580,1962,Vatsala Deshmukh,Iftekhar
Jal Mahal,1980.0,130.0,350,5.7,15.0,1991,920,Rekha,Deven Verma
Jalebi,2018.0,112.0,327,6.0,2479.0,1943,1823,Varun Mitra,Digangana Suryavanshi
Jallaad,1995.0,144.0,39,5.7,162.0,2865,1305,Madhoo,Rambha
Jallad No. 1,2000.0,0.0,39,4.7,26.0,1234,862,Dharmendra,Shakti Kapoor
Jallian Wala Bagh,1977.0,185.0,360,7.0,33.0,464,2031,Gulzar,Vinod Khanna
Jalpari: The Desert Mermaid,2012.0,94.0,290,7.1,375.0,1717,1458,Lehar Khan,Krishang Trivedi
Jalte Badan,1973.0,0.0,269,5.7,15.0,2165,1103,Kiran Kumar,Neena
Jalwa,1987.0,134.0,84,6.6,149.0,1786,1406,Archana Puran Singh,Tejeshwar Singh
Jalwa: Fun in Love,2005.0,0.0,172,4.4,10.0,2104,726,Neha Bhatt,Daisy
Jamai Raja,1990.0,0.0,327,5.4,533.0,1310,810,Anil Kapoor,Madhuri Dixit
James,2005.0,0.0,77,3.7,330.0,2276,1321,Priyanka Kothari,Mohan Agashe
Jamun,2021.0,92.0,282,7.5,409.0,815,1646,Shweta Basu Prasad,Sunny Hinduja
Jan Pahchan,1950.0,114.0,327,7.1,61.0,769,1401,Raj Kapoor,Jeevan
Janam Janam,1988.0,0.0,405,5.7,43.0,3022,1836,Danny Denzongpa,Amrish Puri
Janam Janam Ke Phere: Alias Sati Anapurna,1957.0,0.0,282,5.7,6.0,1483,1464,Manher Desai,B.M. Vyas
Janam Kundli,1995.0,157.0,39,4.0,27.0,2893,920,Vinod Khanna,Reena Roy
Janam Se Pehle,1994.0,150.0,240,4.0,14.0,448,1668,Farha Naaz,Sumeet Saigal
Janani,2006.0,124.0,327,4.4,28.0,568,456,Ayesha Jhulka,Sonica Handa
Janasheen,2003.0,162.0,379,2.9,358.0,784,715,Fardeen Khan,Celina Jaitly
Janata Ki Adalat,1994.0,0.0,376,5.1,31.0,2865,1902,Sulabha Arya,Asrani
Janbaaz,1986.0,175.0,39,6.2,662.0,784,715,Anil Kapoor,Dimple Kapadia
Jangal Mein Mangal,1972.0,140.0,125,6.7,64.0,2064,1056,Reena Roy,Sonia Sahni
Jango,2016.0,110.0,401,2.7,11.0,76,1347,Jannat Ansari,Adam Avil
Janleva 555,2012.0,140.0,398,4.2,20.0,2787,2114,Raja Hasan,Akash Hora
Janmabhoomi,1936.0,139.0,269,5.9,9.0,788,627,Ashok Kumar,Pramila
Jannat,1949.0,0.0,0,7.1,8.0,1617,1816,Nazir Kashmiri,Munshi Munakka
Jannat 2,2012.0,150.0,227,6.2,5333.0,1351,694,Randeep Hooda,Esha Gupta
Jannat E Milan,2018.0,135.0,376,2.8,8.0,2613,1833,Shakshi Diwedi,Ajay Azad Singh
Jannat: In Search of Heaven...,2008.0,140.0,225,6.9,6080.0,1351,694,Sonal Chauhan,Armen Grayg
